open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore,date
1646596800000.0,38670.65,38926.32,38628.78,38854.99,1026.24768,1646600399999.0,39808315.4723752,27672.0,462.46388,17936637.2485929,0.0,2022-03-06 21:59:59.999
1646600400000.0,38854.99,39273.79,38740.15,39020.11,2366.51272,1646603999999.0,92328413.4891958,50510.0,1137.45214,44373854.0323857,0.0,2022-03-06 22:59:59.999
1646604000000.0,39020.12,39200.0,38942.23,38974.11,1054.95281,1646607599999.0,41248342.9525093,26082.0,498.49809,19491662.1897402,0.0,2022-03-06 23:59:59.999
1646607600000.0,38974.11,39013.92,38127.0,38420.81,3677.63252,1646611199999.0,141437552.2003793,71609.0,1670.10904,64214884.9698594,0.0,2022-03-07 00:59:59.999
1646611200000.0,38420.8,38537.1,38005.0,38403.63,3134.6092,1646614799999.0,120115797.615108,70169.0,1554.34919,59584967.1392714,0.0,2022-03-07 01:59:59.999
1646614800000.0,38403.63,38555.85,38285.0,38324.69,1489.39704,1646618399999.0,57259253.7430375,39451.0,749.98863,28834994.0842459,0.0,2022-03-07 02:59:59.999
1646618400000.0,38324.68,38372.21,37584.12,37784.37,3993.99078,1646621999999.0,151513632.0232439,86758.0,1730.1121,65629067.4580524,0.0,2022-03-07 03:59:59.999
1646622000000.0,37784.36,37972.17,37578.03,37869.45,2352.36422,1646625599999.0,88808571.6647123,52215.0,1163.30002,43919630.6685638,0.0,2022-03-07 04:59:59.999
1646625600000.0,37869.46,37973.27,37760.08,37930.18,1201.27457,1646629199999.0,45501195.0444685,29939.0,728.45048,27590881.841329,0.0,2022-03-07 05:59:59.999
1646629200000.0,37930.18,38247.48,37809.41,38024.18,1522.7956,1646632799999.0,57958747.848587,39643.0,849.98184,32348623.7065672,0.0,2022-03-07 06:59:59.999
1646632800000.0,38024.19,38214.16,37988.65,38162.47,1251.68081,1646636399999.0,47711069.9864648,32416.0,731.20133,27875976.3148413,0.0,2022-03-07 07:59:59.999
1646636400000.0,38162.47,38210.34,37787.42,37895.24,1561.5249,1646639999999.0,59390736.3506675,38477.0,664.05084,25257077.876124,0.0,2022-03-07 08:59:59.999
1646640000000.0,37895.24,38207.64,37649.46,38160.12,2451.24124,1646643599999.0,92937781.6689758,59295.0,1287.59772,48826718.8877744,0.0,2022-03-07 09:59:59.999
1646643600000.0,38160.13,38394.21,38133.42,38152.18,1590.7198,1646647199999.0,60845828.8339182,41525.0,799.61234,30583744.5935471,0.0,2022-03-07 10:59:59.999
1646647200000.0,38152.19,38290.0,37972.71,38018.91,1662.53264,1646650799999.0,63437959.247763,38898.0,739.19919,28209466.1291933,0.0,2022-03-07 11:59:59.999
